timestamp,Temperature
20220101T0000,6.4902453
20220101T0100,6.0602455
20220101T0200,5.5602455
20220101T0300,4.630245
20220101T0400,3.6602454
20220101T0500,3.8802452
20220101T0600,3.6502452
20220101T0700,3.1102452
20220101T0800,2.7302456
20220101T0900,2.5102453
20220101T1000,2.4402454
20220101T1100,4.2502456
20220101T1200,6.5302453
20220101T1300,8.290245
20220101T1400,10.090245
20220101T1500,11.3102455
20220101T1600,12.100245
20220101T1700,10.530245
20220101T1800,7.3002453
20220101T1900,5.9902453
20220101T2000,5.8002453
20220101T2100,5.170245
20220101T2200,4.4902453
20220101T2300,3.9102454
20220102T0000,3.5702453
20220102T0100,3.4202452
20220102T0200,2.8802452
20220102T0300,3.0202456
20220102T0400,2.3602452
20220102T0500,2.3102455
20220102T0600,2.3802454
20220102T0700,2.4202454
20220102T0800,2.5802455
20220102T0900,2.9402456
20220102T1000,3.5602455
20220102T1100,5.0602455
20220102T1200,6.540245
20220102T1300,8.340245
20220102T1400,9.950245
20220102T1500,11.590245
20220102T1600,12.150246
20220102T1700,12.020246
20220102T1800,11.270246
20220102T1900,10.740245
20220102T2000,10.660245
20220102T2100,11.000245
20220102T2200,11.720245
20220102T2300,12.5602455
20220103T0000,12.240245
20220103T0100,12.300245
20220103T0200,12.290245
20220103T0300,12.460245
20220103T0400,12.460245
20220103T0500,12.550245
20220103T0600,12.370245
20220103T0700,11.910245
20220103T0800,11.740245
20220103T0900,11.670245
20220103T1000,11.670245
20220103T1100,11.680245
20220103T1200,11.800245
20220103T1300,11.920245
20220103T1400,12.190246
20220103T1500,12.370245
20220103T1600,12.330245
20220103T1700,12.270246
20220103T1800,12.040245
20220103T1900,11.860246
20220103T2000,11.510245
20220103T2100,11.420245
20220103T2200,11.350245
20220103T2300,11.420245
20220104T0000,11.150246
20220104T0100,11.440246
20220104T0200,11.400246
20220104T0300,11.420245
20220104T0400,11.950245
20220104T0500,12.010245
20220104T0600,12.320246
20220104T0700,12.140245
20220104T0800,12.130245
20220104T0900,12.900246
20220104T1000,13.720245
20220104T1100,14.150246
20220104T1200,15.3102455
20220104T1300,15.920245
20220104T1400,16.250246
20220104T1500,15.070246
20220104T1600,13.380245
20220104T1700,13.030245
20220104T1800,13.270246
20220104T1900,12.550245
20220104T2000,11.420245
20220104T2100,9.620245
20220104T2200,8.080246
20220104T2300,7.250245
20220105T0000,6.290245
20220105T0100,5.670245
20220105T0200,5.610245
20220105T0300,5.6002455
20220105T0400,5.480245
20220105T0500,5.4702454
20220105T0600,5.3102455
20220105T0700,4.8502455
20220105T0800,4.2102456
20220105T0900,3.8802452
20220105T1000,3.4402456
20220105T1100,3.1302452
20220105T1200,3.2002454
20220105T1300,3.2502456
20220105T1400,3.7002454
20220105T1500,4.1002455
20220105T1600,4.0402455
20220105T1700,3.7402453
20220105T1800,2.4002454
20220105T1900,1.9502454
20220105T2000,0.9002454
20220105T2100,0.84024537
20220105T2200,1.2002454
20220105T2300,1.3602455
20220106T0000,1.2002454
20220106T0100,1.0702454
20220106T0200,1.5602454
20220106T0300,1.7302454
20220106T0400,1.8102454
20220106T0500,2.0002456
20220106T0600,1.9902455
20220106T0700,1.8102454
20220106T0800,1.8002454
20220106T0900,1.6702454
20220106T1000,2.1002455
20220106T1100,2.4702454
20220106T1200,3.2502456
20220106T1300,3.5602455
20220106T1400,4.170245
20220106T1500,4.4802456
20220106T1600,4.150245
20220106T1700,3.9402456
20220106T1800,2.1902454
20220106T1900,2.1502454
20220106T2000,1.5802454
20220106T2100,0.8702454
20220106T2200,0.3102454
20220106T2300,-0.009754598
20220107T0000,-1.1897546
20220107T0100,-1.4697546
20220107T0200,-2.0597544
20220107T0300,-1.6297547
20220107T0400,-0.88975465
20220107T0500,-0.9597546
20220107T0600,-1.0497546
20220107T0700,-0.89975464
20220107T0800,-0.62975454
20220107T0900,-0.4597546
20220107T1000,0.080245405
20220107T1100,0.84024537
20220107T1200,1.8302454
20220107T1300,2.0102453
20220107T1400,2.0202456
20220107T1500,1.6602454
20220107T1600,1.6002454
20220107T1700,1.7702454
20220107T1800,1.9602454
20220107T1900,1.7802454
20220107T2000,1.9202454
20220107T2100,2.1502454
20220107T2200,2.5302453
20220107T2300,2.8202453
20220108T0000,2.9202452
20220108T0100,3.2702456
20220108T0200,3.4502454
20220108T0300,3.3702455
20220108T0400,3.2002454
20220108T0500,3.3402452
20220108T0600,3.6002455
20220108T0700,3.5702453
20220108T0800,3.2402453
20220108T0900,2.7102456
20220108T1000,2.6002455
20220108T1100,2.6702452
20220108T1200,3.0902452
20220108T1300,3.7402453
20220108T1400,4.4702454
20220108T1500,4.8402452
20220108T1600,5.0502453
20220108T1700,5.0702453
20220108T1800,4.9902453
20220108T1900,5.4102454
20220108T2000,5.2402453
20220108T2100,5.440245
20220108T2200,5.5902452
20220108T2300,5.630245
20220109T0000,5.880245
20220109T0100,5.5802455
20220109T0200,5.750245
20220109T0300,6.2202454
20220109T0400,5.710245
20220109T0500,5.2002454
20220109T0600,4.6002455
20220109T0700,4.1602454
20220109T0800,4.1902456
20220109T0900,4.2702456
20220109T1000,4.0502453
20220109T1100,4.2702456
20220109T1200,4.420245
20220109T1300,4.4802456
20220109T1400,4.5902452
20220109T1500,4.650245
20220109T1600,4.5902452
20220109T1700,4.0702453
20220109T1800,3.7902455
20220109T1900,3.2002454
20220109T2000,2.7602453
20220109T2100,2.4902453
20220109T2200,2.2102454
20220109T2300,1.9402454
20220110T0000,1.6502454
20220110T0100,1.8102454
20220110T0200,1.7802454
20220110T0300,1.9202454
20220110T0400,2.1002455
20220110T0500,1.5902454
20220110T0600,1.4902453
20220110T0700,1.5902454
20220110T0800,1.8602453
20220110T0900,1.7602454
20220110T1000,1.7302454
20220110T1100,2.2502456
20220110T1200,2.8002453
20220110T1300,3.2602453
20220110T1400,4.150245
20220110T1500,4.5902452
20220110T1600,4.8302455
20220110T1700,4.4402456
20220110T1800,3.1802454
20220110T1900,2.0502453
20220110T2000,1.3602455
20220110T2100,0.9102454
20220110T2200,0.2502454
20220110T2300,-0.04975462
20220111T0000,-0.3097546
20220111T0100,-0.51975465
20220111T0200,-0.1297546
20220111T0300,-0.3197546
20220111T0400,-0.39975458
20220111T0500,-0.2697546
20220111T0600,-0.5797546
20220111T0700,-0.29975462
20220111T0800,0.6302454
20220111T0900,0.9102454
20220111T1000,1.1202455
20220111T1100,1.6902454
20220111T1200,1.9902455
20220111T1300,2.7702456
20220111T1400,3.4902453
20220111T1500,3.9802456
20220111T1600,4.3202453
20220111T1700,3.9102454
20220111T1800,1.5402454
20220111T1900,0.6902454
20220111T2000,0.16024542
20220111T2100,-0.48975456
20220111T2200,-0.85975456
20220111T2300,-1.0097545
20220112T0000,-1.3297546
20220112T0100,-1.7397546
20220112T0200,-2.1897545
20220112T0300,-2.5497546
20220112T0400,-2.7997546
20220112T0500,-2.9797544
20220112T0600,-3.1897545
20220112T0700,-3.1097546
20220112T0800,-3.1197548
20220112T0900,-3.2597547
20220112T1000,-1.9497546
20220112T1100,-0.7197546
20220112T1200,0.2702454
20220112T1300,1.2202454
20220112T1400,1.7502455
20220112T1500,2.4202454
20220112T1600,2.8202453
20220112T1700,2.4702454
20220112T1800,0.3002454
20220112T1900,-1.0097545
20220112T2000,-1.7997545
20220112T2100,-2.2097545
20220112T2200,-2.5197544
20220112T2300,-3.0497546
20220113T0000,-3.3897548
20220113T0100,-3.6697545
20220113T0200,-3.8997545
20220113T0300,-3.979755
20220113T0400,-3.9197545
20220113T0500,-4.1997547
20220113T0600,-4.2597547
20220113T0700,-4.1997547
20220113T0800,-4.0897546
20220113T0900,-4.0897546
20220113T1000,-3.4397545
20220113T1100,-1.4497546
20220113T1200,-0.0697546
20220113T1300,1.0102454
20220113T1400,2.1802454
20220113T1500,2.9702454
20220113T1600,3.3602452
20220113T1700,2.5802455
20220113T1800,0.2602454
20220113T1900,-0.5597546
20220113T2000,-1.0097545
20220113T2100,-1.4497546
20220113T2200,-2.0797548
20220113T2300,-2.5697546
20220114T0000,-2.6697545
20220114T0100,-2.9397545
20220114T0200,-3.0997548
20220114T0300,-3.2597547
20220114T0400,-3.3897548
20220114T0500,-3.519755
20220114T0600,-3.8697548
20220114T0700,-3.9897547
20220114T0800,-4.1897545
20220114T0900,-4.1097546
20220114T1000,-3.3397546
20220114T1100,-1.3897547
20220114T1200,0.17024541
20220114T1300,1.8202454
20220114T1400,3.1202455
20220114T1500,4.110245
20220114T1600,4.8102455
20220114T1700,5.7802453
20220114T1800,3.6202455
20220114T1900,0.11024541
20220114T2000,-0.64975464
20220114T2100,-1.4597546
20220114T2200,-1.9997545
20220114T2300,-2.1397548
20220115T0000,-2.2597547
20220115T0100,-2.3197546
20220115T0200,-2.5697546
20220115T0300,-2.8097544
20220115T0400,-3.2497544
20220115T0500,-3.4297547
20220115T0600,-3.6497545
20220115T0700,-3.8097548
20220115T0800,-3.7997546
20220115T0900,-4.1297545
20220115T1000,-3.1497545
20220115T1100,-1.4397546
20220115T1200,-0.46975458
20220115T1300,0.7202454
20220115T1400,2.0402455
20220115T1500,3.3102455
20220115T1600,3.5502453
20220115T1700,3.7602453
20220115T1800,2.9002452
20220115T1900,-0.24975461
20220115T2000,-0.87975454
20220115T2100,-1.5597545
20220115T2200,-1.8997546
20220115T2300,-2.0397544
20220116T0000,-2.0497546
20220116T0100,-2.1797547
20220116T0200,-2.2897544
20220116T0300,-2.3097544
20220116T0400,-2.0197544
20220116T0500,-1.8297547
20220116T0600,-1.8697547
20220116T0700,-1.9497546
20220116T0800,-2.1097546
20220116T0900,-2.3297548
20220116T1000,-1.9597546
20220116T1100,-0.8497546
20220116T1200,0.1802454
20220116T1300,0.7602454
20220116T1400,1.6402454
20220116T1500,2.3102455
20220116T1600,2.2402453
20220116T1700,2.0102453
20220116T1800,0.2402454
20220116T1900,-0.52975464
20220116T2000,-0.3797546
20220116T2100,0.13024542
20220116T2200,0.19024539
20220116T2300,0.5902454
20220117T0000,0.6602454
20220117T0100,0.9302454
20220117T0200,0.9302454
20220117T0300,0.8602454
20220117T0400,0.7502454
20220117T0500,0.4402454
20220117T0600,0.84024537
20220117T0700,0.77024543
20220117T0800,0.6802454
20220117T0900,-0.0697546
20220117T1000,0.41024542
20220117T1100,1.7202454
20220117T1200,2.6002455
20220117T1300,3.7602453
20220117T1400,4.5902452
20220117T1500,5.5102453
20220117T1600,5.9102454
20220117T1700,5.770245
20220117T1800,4.5802455
20220117T1900,4.790245
20220117T2000,3.6702452
20220117T2100,3.2502456
20220117T2200,2.9602456
20220117T2300,2.3802454
20220118T0000,2.3202453
20220118T0100,1.3802454
20220118T0200,1.0402454
20220118T0300,0.7802454
20220118T0400,0.5602454
20220118T0500,0.6802454
20220118T0600,0.64024544
20220118T0700,0.6902454
20220118T0800,0.6902454
20220118T0900,0.89024544
20220118T1000,1.4302454
20220118T1100,2.5702453
20220118T1200,3.7902455
20220118T1300,4.6202455
20220118T1400,5.630245
20220118T1500,5.9302454
20220118T1600,6.0602455
20220118T1700,5.610245
20220118T1800,3.8502455
20220118T1900,3.1402454
20220118T2000,2.6002455
20220118T2100,1.7802454
